condition,image_num,sample_id,C_coverage,Ca_coverage,Cl_coverage,Mg_coverage,Na_coverage,O_coverage,S_coverage,mds_x,mds_y
F,7,2,0.022746838848533762,0.025218590260963143,0.039457223567393056,0.09582324455205811,0.048970944309927364,0.06172988969599139,0.024677158999192896,-0.0006735799213111387,0.0035191564144454327
F,8,2,0.022434086629001884,0.024142453591606133,0.04386602098466505,0.09192897497982244,0.04902138821630347,0.06345843422114608,0.023809523809523808,-0.0013438206380214973,0.002898669827144463
F,9,2,0.024825127791229487,0.024697336561743343,0.040314769975786924,0.09345238095238095,0.04896758138283562,0.059957627118644066,0.02530938929244014,-0.0008668071379238498,0.0033535790385462684
F,10,2,0.02395412967446866,0.0238498789346247,0.03848870056497175,0.09134046273876782,0.04809322033898305,0.0633440947000269,0.024653618509550713,-0.0007157628945484424,0.003449668554733547
F,11,3,0.02189938122141512,0.019552058111380145,0.033272800645682,0.09323715361850955,0.05743879472693032,0.06000807102502018,0.02376580575733118,0.0014814249604542889,0.002088307138196942
F,12,3,0.020702179176755448,0.01948816249663707,0.03278517621737961,0.09555084745762712,0.05720002690341673,0.058218993812214154,0.02381961259079903,0.0017765416419176794,0.0022366482042994484
F,13,3,0.021267150928167878,0.019696663976324993,0.030357142857142857,0.0930421038471886,0.05096852300242131,0.056366020984665054,0.024781409739036857,0.0017302357272920232,0.0032218246159757594
F,14,3,0.022871267150928166,0.019387274683884854,0.03355192359429648,0.09167339252085015,0.05378329297820823,0.0568502824858757,0.02536319612590799,0.0012134069759663264,0.0022898330693104404
F,15,3,0.02191283292978208,0.0197302932472424,0.031746031746031744,0.09246031746031746,0.050400188323917135,0.056860371267150926,0.024976459510357815,0.0013195343606725535,0.0031014773370043676
F,16,4,0.019293112725316114,0.02046341135324186,0.048362254506322304,0.09050309389292441,0.07912631154156578,0.06368038740920097,0.03194444444444444,0.0013868971796280455,-0.0024314571418603305
F,17,4,0.021569814366424536,0.02072571966639763,0.05221280602636535,0.09324387947269303,0.0826103040086091,0.06502555824589723,0.033915119720204466,0.001194552973617274,-0.0026497659224091856
F,18,4,0.021505918751681462,0.020083400591875168,0.046970002690341676,0.09366424535916061,0.07518832391713748,0.05796004842615012,0.029724912563895613,0.0010746194402325305,-0.0015533861614193283
F,19,4,0.02045332257196664,0.021758138283562014,0.0511501210653753,0.09033494753833737,0.07769370460048426,0.06304815711595373,0.03310801721818671,0.0008854390969104939,-0.002273670075088286
F,20,4,0.019172047350013453,0.020702179176755448,0.05182270648372343,0.09125975248856605,0.07983588915792306,0.06317931127253161,0.031382835620123756,0.0009558513848442211,-0.0026968928516961843
F,21,5,0.01725181598062954,0.01967984934086629,0.040166801183750336,0.08867029862792575,0.07965429109496906,0.06778652138821631,0.03899313962873285,0.0036849044384110836,-0.0031945803887826747
F,22,5,0.018005111649179447,0.020658461124562818,0.03982378262039279,0.0866727199354318,0.07994013989776702,0.06776634382566586,0.03683077750874361,0.0032905475423892273,-0.0029653220800990813
F,23,5,0.017581382835620125,0.019444444444444445,0.038751008878127526,0.0885256927629809,0.0787631154156578,0.06808245897228948,0.03803134248049502,0.0037583044477649406,-0.0029198080786621786
F,24,5,0.018610438525692764,0.020436507936507937,0.04084274952919021,0.09323715361850955,0.08162832929782082,0.07148574118913102,0.04231571159537261,0.00396962910956597,-0.0029886600416582933
F,25,5,0.018798762442830238,0.01905770782889427,0.03914783427495292,0.09362052730696799,0.07852098466505246,0.06772262577347322,0.04084947538337369,0.004018879522285967,-0.0026054201185151445
G,1,1,0.026570486951842883,0.02810734463276836,0.037526903416733925,0.09664716168953458,0.05350417002959376,0.07076271186440677,0.02748520312079634,-0.00028570933539571254,0.004000608767159304
G,2,1,0.026217379607210115,0.028931261770244823,0.04384584342211461,0.10219935431799838,0.05379001883239171,0.07795601291364003,0.027135458703255313,-0.0011861715849766584,0.004002362808506234
G,3,1,0.02805017487220877,0.03357210115684692,0.051422518159806294,0.09672114608555286,0.04637140166801184,0.07741121872477805,0.02618711326338445,-0.004090139963052848,0.005746451196804946
