radius_bin,r_center,mean_intensity,pixel_count,condition,image_num,particle_density,n_particles
37,0.75,110.04333057166528,24140,A,9,403.893951946976,39
38,0.77,106.01649017864361,24742,A,9,232.39835098213564,23
39,0.79,105.63663508241102,25118,A,9,378.21482602118004,38
40,0.81,106.86712743651472,25754,A,9,436.825347518832,45
41,0.83,103.44606042431967,26678,A,9,337.3566234350401,36
42,0.85,107.29033913840513,27275,A,9,412.4656278643447,45
43,0.87,110.65990925058549,27328,A,9,402.5175644028103,44
44,0.89,109.57463009743775,27710,A,9,342.8365211115121,38
45,0.91,112.28179453372769,28063,A,9,356.34108969105233,40
46,0.9299999999999999,113.61539814912558,28419,A,9,325.48647031915266,37
47,0.95,115.3190548048563,29158,A,9,385.82893202551617,45
48,0.97,115.40715268225584,29080,A,9,386.86382393397525,45
49,0.99,114.51756290259439,28099,A,9,266.91341328872915,30
